sigla_uf,regiao,comparacoes_validas,registros_meta_atingida,registros_meta_nao_atingida,percentual_meta_atingida,resultado_medio,meta_media,gap_medio_entre_nao_atingidos
CE,Nordeste,184,168,16,91.3,90.310000000,78.930000000,4.930000000
GO,Centro-Oeste,243,196,47,80.66,80.190000000,71.870000000,5.150000000
MG,Sudeste,801,637,164,79.53,75.070000000,64.760000000,8.450000000
ES,Sudeste,78,59,19,75.64,78.190000000,73.540000000,3.960000000
MS,Centro-Oeste,79,52,27,65.82,59.030000000,54.710000000,8.680000000
MT,Centro-Oeste,139,89,50,64.03,66.110000000,60.920000000,9.620000000
PE,Nordeste,184,112,72,60.87,65.580000000,63.230000000,8.030000000
PI,Nordeste,224,131,93,58.48,65.990000000,60.060000000,10.860000000
TO,Norte,137,77,60,56.2,46.280000000,43.790000000,12.530000000
SC,Sul,238,132,106,55.46,69.370000000,68.790000000,9.030000000
AL,Nordeste,102,56,46,54.9,52.630000000,50.550000000,6.910000000
RO,Norte,52,27,25,51.92,67.180000000,66.880000000,8.800000000
MA,Nordeste,216,112,104,51.85,63.350000000,62.440000000,11.760000000
SP,Sudeste,621,321,300,51.69,64.070000000,63.110000000,8.300000000
PB,Nordeste,220,113,107,51.36,59.370000000,57.080000000,15.750000000
SE,Nordeste,75,37,38,49.33,36.450000000,36.440000000,8.590000000
RN,Nordeste,139,67,72,48.2,42.780000000,42.990000000,11.890000000
PR,Sul,395,185,210,46.84,74.200000000,74.600000000,6.950000000
AP,Norte,16,7,9,43.75,49.450000000,48.030000000,9.870000000
RJ,Sudeste,90,36,54,40.0,58.280000000,59.220000000,4.700000000
PA,Norte,136,46,90,33.82,49.280000000,51.830000000,7.680000000
AM,Norte,48,13,35,27.08,46.140000000,52.650000000,12.420000000
BA,Nordeste,394,75,319,19.04,36.630000000,43.750000000,10.340000000
RS,Sul,421,40,381,9.5,53.100000000,72.160000000,22.150000000
