sigla_uf,regiao,total_registros_2024,registros_com_resultado,registros_com_meta,comparacoes_validas,status_cobertura
AC,Norte,22,22,0,0,sem_meta
DF,Centro-Oeste,0,0,0,0,sem_registros_em_2024
RR,Norte,0,0,0,0,sem_registros_em_2024
AP,Norte,16,16,16,16,cobertura_completa
AM,Norte,55,55,48,48,cobertura_parcial
RO,Norte,52,52,52,52,cobertura_completa
SE,Nordeste,75,75,75,75,cobertura_completa
ES,Sudeste,78,78,78,78,cobertura_completa
MS,Centro-Oeste,79,79,79,79,cobertura_completa
RJ,Sudeste,92,92,90,90,cobertura_parcial
AL,Nordeste,102,102,102,102,cobertura_completa
PA,Norte,142,142,136,136,cobertura_parcial
TO,Norte,138,138,137,137,cobertura_parcial
MT,Centro-Oeste,140,140,139,139,cobertura_parcial
RN,Nordeste,151,151,139,139,cobertura_parcial
CE,Nordeste,184,184,184,184,cobertura_completa
PE,Nordeste,184,184,184,184,cobertura_completa
MA,Nordeste,217,217,216,216,cobertura_parcial
PB,Nordeste,221,221,220,220,cobertura_parcial
PI,Nordeste,224,224,224,224,cobertura_completa
SC,Sul,254,254,238,238,cobertura_parcial
GO,Centro-Oeste,245,245,243,243,cobertura_parcial
BA,Nordeste,398,398,394,394,cobertura_parcial
PR,Sul,398,398,395,395,cobertura_parcial
RS,Sul,441,441,421,421,cobertura_parcial
SP,Sudeste,626,626,621,621,cobertura_parcial
MG,Sudeste,818,818,801,801,cobertura_parcial
