id_municipio,nome_municipio,sigla_uf,regiao,resultado_alfabetizacao,meta_alfabetizacao_ano,gap_para_meta,percentual_participacao
4320453,Sério,RS,Sul,11.100000000,80.000000000,68.900000000,100.000000000
4301073,Arroio do Padre,RS,Sul,18.200000000,80.000000000,61.800000000,84.620000000
4319752,São Vendelino,RS,Sul,25.000000000,80.000000000,55.000000000,100.000000000
4310850,Jaboticaba,RS,Sul,25.000000000,80.000000000,55.000000000,100.000000000
4319208,São Nicolau,RS,Sul,7.100000000,61.560000000,54.460000000,82.350000000
4306700,Dona Francisca,RS,Sul,26.700000000,80.000000000,53.300000000,93.750000000
4302584,Bozano,RS,Sul,27.300000000,80.000000000,52.700000000,100.000000000
4313334,Nova Ramada,RS,Sul,28.000000000,80.000000000,52.000000000,96.150000000
1713601,Monte do Carmo,TO,Norte,19.710000000,71.560000000,51.850000000,81.010000000
4320354,Sentinela do Sul,RS,Sul,23.500000000,74.770000000,51.270000000,85.710000000
4203105,Caibi,SC,Sul,27.300000000,76.160000000,48.860000000,73.810000000
1704600,Chapada de Areia,TO,Norte,6.250000000,54.930000000,48.680000000,76.190000000
3553658,Taquaral,SP,Sudeste,27.270000000,75.760000000,48.490000000,84.620000000
4313953,Pantano Grande,RS,Sul,25.700000000,73.690000000,47.990000000,82.140000000
4314209,Pedro Osório,RS,Sul,22.300000000,69.690000000,47.390000000,82.930000000
