id_municipio,nome_municipio,sigla_uf,regiao,resultado_alfabetizacao,meta_alfabetizacao_ano,gap_para_meta,resultado_2023,resultado_2024,variacao_pontos_percentuais,percentual_participacao
4320453,Sério,RS,Sul,11.100000000,80.000000000,68.900000000,85.400000000,11.100000000,-74.300000000,100.000000000
4301073,Arroio do Padre,RS,Sul,18.200000000,80.000000000,61.800000000,94.600000000,18.200000000,-76.400000000,84.620000000
4319752,São Vendelino,RS,Sul,25.000000000,80.000000000,55.000000000,100.000000000,25.000000000,-75.000000000,100.000000000
4310850,Jaboticaba,RS,Sul,25.000000000,80.000000000,55.000000000,85.500000000,25.000000000,-60.500000000,100.000000000
4319208,São Nicolau,RS,Sul,7.100000000,61.560000000,54.460000000,57.900000000,7.100000000,-50.800000000,82.350000000
4306700,Dona Francisca,RS,Sul,26.700000000,80.000000000,53.300000000,81.300000000,26.700000000,-54.600000000,93.750000000
4302584,Bozano,RS,Sul,27.300000000,80.000000000,52.700000000,100.000000000,27.300000000,-72.700000000,100.000000000
4313334,Nova Ramada,RS,Sul,28.000000000,80.000000000,52.000000000,87.000000000,28.000000000,-59.000000000,96.150000000
1713601,Monte do Carmo,TO,Norte,19.710000000,71.560000000,51.850000000,70.000000000,19.710000000,-50.290000000,81.010000000
4320354,Sentinela do Sul,RS,Sul,23.500000000,74.770000000,51.270000000,73.800000000,23.500000000,-50.300000000,85.710000000
4203105,Caibi,SC,Sul,27.300000000,76.160000000,48.860000000,75.500000000,27.300000000,-48.200000000,73.810000000
1704600,Chapada de Areia,TO,Norte,6.250000000,54.930000000,48.680000000,50.000000000,6.250000000,-43.750000000,76.190000000
3553658,Taquaral,SP,Sudeste,27.270000000,75.760000000,48.490000000,75.000000000,27.270000000,-47.730000000,84.620000000
4313953,Pantano Grande,RS,Sul,25.700000000,73.690000000,47.990000000,72.500000000,25.700000000,-46.800000000,82.140000000
4314209,Pedro Osório,RS,Sul,22.300000000,69.690000000,47.390000000,67.700000000,22.300000000,-45.400000000,82.930000000
4312203,Maximiliano de Almeida,RS,Sul,33.300000000,80.000000000,46.700000000,93.800000000,33.300000000,-60.500000000,100.000000000
4323507,Vista Alegre,RS,Sul,33.300000000,80.000000000,46.700000000,90.000000000,33.300000000,-56.700000000,90.000000000
2509057,Marcação,PB,Nordeste,24.230000000,70.700000000,46.470000000,68.900000000,24.230000000,-44.670000000,84.960000000
4302238,Boa Vista do Incra,RS,Sul,26.600000000,72.670000000,46.070000000,71.300000000,26.600000000,-44.700000000,95.830000000
2100808,Anapurus,MA,Nordeste,34.630000000,80.000000000,45.370000000,91.100000000,34.630000000,-56.470000000,76.760000000
