execution_id,camada,etapa,inicio_utc,fim_utc,duracao_segundos,status,bytes_processados,mensagem_erro
edd46773-51b2-4145-b489-09a398e33c9a,BRONZE,carregar_alunos,2026-07-12T15:58:05.150517+00:00,2026-07-12T15:58:10.103322+00:00,4.95,SUCESSO,268545240,
edd46773-51b2-4145-b489-09a398e33c9a,BRONZE,carregar_dicionario,2026-07-12T15:58:10.103416+00:00,2026-07-12T15:58:12.018829+00:00,1.92,SUCESSO,1174,
edd46773-51b2-4145-b489-09a398e33c9a,BRONZE,carregar_meta_alfabetizacao_brasil,2026-07-12T15:58:12.018933+00:00,2026-07-12T15:58:14.039152+00:00,2.02,SUCESSO,270,
edd46773-51b2-4145-b489-09a398e33c9a,BRONZE,carregar_meta_alfabetizacao_municipio,2026-07-12T15:58:14.039249+00:00,2026-07-12T15:58:16.662637+00:00,2.62,SUCESSO,1151232,
edd46773-51b2-4145-b489-09a398e33c9a,BRONZE,carregar_meta_alfabetizacao_uf,2026-07-12T15:58:16.662723+00:00,2026-07-12T15:58:18.609039+00:00,1.95,SUCESSO,7374,
edd46773-51b2-4145-b489-09a398e33c9a,BRONZE,carregar_municipio,2026-07-12T15:58:18.609137+00:00,2026-07-12T15:58:20.564089+00:00,1.95,SUCESSO,1832061,
edd46773-51b2-4145-b489-09a398e33c9a,BRONZE,carregar_uf,2026-07-12T15:58:20.564172+00:00,2026-07-12T15:58:22.414622+00:00,1.85,SUCESSO,10330,
edd46773-51b2-4145-b489-09a398e33c9a,SILVER,criar_silver_alunos,2026-07-12T15:58:25.291677+00:00,2026-07-12T15:58:31.588319+00:00,6.3,SUCESSO,268545240,
edd46773-51b2-4145-b489-09a398e33c9a,SILVER,criar_silver_territorio,2026-07-12T15:58:31.588410+00:00,2026-07-12T15:58:52.957561+00:00,21.37,SUCESSO,2144573,
edd46773-51b2-4145-b489-09a398e33c9a,SILVER,criar_silver_metas,2026-07-12T15:58:52.957650+00:00,2026-07-12T15:59:00.599739+00:00,7.64,SUCESSO,1309967,
edd46773-51b2-4145-b489-09a398e33c9a,GOLD,remover_estruturas_gold_anteriores,2026-07-12T15:59:06.000578+00:00,2026-07-12T15:59:10.323265+00:00,4.32,SUCESSO,0,
edd46773-51b2-4145-b489-09a398e33c9a,GOLD,criar_gold_indicador_municipio,2026-07-12T15:59:10.323699+00:00,2026-07-12T15:59:12.420929+00:00,2.1,SUCESSO,1848706,
edd46773-51b2-4145-b489-09a398e33c9a,GOLD,criar_gold_indicadores_uf_brasil,2026-07-12T15:59:12.421022+00:00,2026-07-12T15:59:16.263386+00:00,3.84,SUCESSO,11076,
edd46773-51b2-4145-b489-09a398e33c9a,GOLD,criar_gold_evolucao_resumo,2026-07-12T15:59:16.263470+00:00,2026-07-12T15:59:20.508648+00:00,4.25,SUCESSO,2231486,
edd46773-51b2-4145-b489-09a398e33c9a,GOLD,criar_gold_aluno_e_base_ml,2026-07-12T15:59:20.508737+00:00,2026-07-12T15:59:24.886734+00:00,4.38,SUCESSO,491607311,
